Service__c,Id,Location_ID__c,Opens_At__c,Closes_At__c,Weekday__c
a1T2E000009DOnBUAW,a1Q2E000003EqOOUA0,a0K2E00000wAbBMUA0,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DOqkUAG,a1Q2E000003EqOUUA0,a0K2E00000wAbEvUAK,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOxGUAW,a1Q2E000003EqOdUAK,a0K2E00000wAbLRUA0,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPMIUA4,a1Q2E000003EqNMUA0,a0K2E00000wAbkEUAS,07:30:00.000Z,15:30:00.000Z,3
a1T2E000009DPP2UAO,a1Q2E000003EqNNUA0,a0K2E00000wAbmyUAC,08:30:00.000Z,15:30:00.000Z,3
a1T2E000009DPBeUAO,a1Q2E000003EqNPUA0,a0K2E00000wAbZaUAK,08:00:00.000Z,15:45:00.000Z,3
a1T2E000009DOYvUAO,a1Q2E000003EqNQUA0,a0K2E00000wAaxGUAS,07:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOZJUA4,a1Q2E000003EqNRUA0,a0K2E00000wAaxeUAC,08:30:00.000Z,16:00:00.000Z,3
a1T2E000009DOZnUAO,a1Q2E000003EqNTUA0,a0K2E00000wAay8UAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOZpUAO,a1Q2E000003EqNUUA0,a0K2E00000wAayAUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOalUAG,a1Q2E000003EqNVUA0,a0K2E00000wAaz6UAC,08:30:00.000Z,16:00:00.000Z,3
a1T2E000009DObGUAW,a1Q2E000003EqNYUA0,a0K2E00000wAazbUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOgUUAW,a1Q2E000003EqNpUAK,a0K2E00000wAb4pUAC,07:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOhPUAW,a1Q2E000003EqNvUAK,a0K2E00000wAb5kUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOj6UAG,a1Q2E000003EqNyUAK,a0K2E00000wAb7RUAS,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DOk2UAG,a1Q2E000003EqODUA0,a0K2E00000wAb8IUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOleUAG,a1Q2E000003EqOFUA0,a0K2E00000wAb9uUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOmzUAG,a1Q2E000003EqOHUA0,a0K2E00000wAbBFUA0,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DOn8UAG,a1Q2E000003EqOLUA0,a0K2E00000wAbBJUA0,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DOn9UAG,a1Q2E000003EqOMUA0,a0K2E00000wAbBKUA0,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DPLkUAO,a1Q2E000003ErOlUAK,a0K2E00000wAbjgUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPMcUAO,a1Q2E000003ErOmUAK,a0K2E00000wAbkYUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPN0UAO,a1Q2E000003ErOnUAK,a0K2E00000wAbkwUAC,07:30:00.000Z,16:00:00.000Z,3
a1T2E000009DPNgUAO,a1Q2E000003ErOoUAK,a0K2E00000wAblcUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPO3UAO,a1Q2E000003ErOpUAK,a0K2E00000wAblzUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPOWUA4,a1Q2E000003ErOrUAK,a0K2E00000wAbmSUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPP5UAO,a1Q2E000003ErOsUAK,a0K2E00000wAbn1UAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPPDUA4,a1Q2E000003ErOtUAK,a0K2E00000wAbn9UAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPPdUAO,a1Q2E000003ErOuUAK,a0K2E00000wAbnZUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPQFUA4,a1Q2E000003ErOvUAK,a0K2E00000wAboBUAS,10:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPQrUAO,a1Q2E000003ErOwUAK,a0K2E00000wAbonUAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPR5UAO,a1Q2E000003ErOxUAK,a0K2E00000wAbp1UAC,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPREUA4,a1Q2E000003ErOyUAK,a0K2E00000wAbpAUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPRGUA4,a1Q2E000003ErOzUAK,a0K2E00000wAbpCUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPRIUA4,a1Q2E000003ErP0UAK,a0K2E00000wAbpEUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPRJUA4,a1Q2E000003ErP1UAK,a0K2E00000wAbpFUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DPRNUA4,a1Q2E000003ErP2UAK,a0K2E00000wAbpJUAS,08:00:00.000Z,16:00:00.000Z,3
a1T2E000009DOhoUAG,a1Q2E000003ErP3UAK,a0K2E00000wAb69UAC,08:00:00.000Z,16:15:00.000Z,3
a1T2E000009DP6zUAG,a1Q2E000003ErP5UAK,a0K2E00000wAbV0UAK,07:30:00.000Z,16:15:00.000Z,3
a1T2E000009DP97UAG,a1Q2E000003ErP6UAK,a0K2E00000wAbX3UAK,08:30:00.000Z,16:15:00.000Z,3
a1T2E000009DPRfUAO,a1Q2E000003ErP7UAK,,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DPRhUAO,a1Q2E000003ErP9UAK,,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DPRiUAO,a1Q2E000003ErPAUA0,,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DPRjUAO,a1Q2E000003ErPBUA0,,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DPRmUAO,a1Q2E000003ErPCUA0,a0K2E00000wAawnUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYVUA4,a1Q2E000003ErPDUA0,a0K2E00000wAawqUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYWUA4,a1Q2E000003ErPEUA0,a0K2E00000wAawrUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYYUA4,a1Q2E000003ErPFUA0,a0K2E00000wAawtUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYcUAO,a1Q2E000003ErPHUA0,a0K2E00000wAawxUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYeUAO,a1Q2E000003ErPJUA0,a0K2E00000wAawzUAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYfUAO,a1Q2E000003ErPKUA0,a0K2E00000wAax0UAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYgUAO,a1Q2E000003ErPLUA0,a0K2E00000wAax1UAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYiUAO,a1Q2E000003ErPMUA0,a0K2E00000wAax3UAC,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DOYjUAO,a1Q2E000003ErPNUA0,a0K2E00000wAax4UAC,08:00:00.000Z,16:30:00.000Z,3
